Date,Open,Close,High,Low,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
2020-01-02,671.5971837301876,681.946533203125,684.4561564580425,671.5971837301876,17710316
2020-06-29,774.837548170994,772.6404418945312,780.0836805287148,769.2327033742362,25621946
