Date,Open,Close,High,Low,Volume
,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
2020-01-02,194.83084374478176,196.18043518066406,197.08015032396938,194.7490582666356,8402979
2020-06-29,165.6307391612702,161.33660888671875,166.03970394932273,160.47778033568548,91503336
