Date,Open,Close,High,Low,Volume
,GOOG,GOOG,GOOG,GOOG,GOOG
2020-01-02,66.83734758257737,68.12372589111328,68.16208598510593,66.83734758257737,28132000
2020-06-29,67.66587218651603,69.49878692626953,69.53017591522648,67.10937711298362,36204000
