Date,Open,Close,High,Low,Volume
,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
2020-01-02,1799.020773210428,1797.2125244140625,1810.7051122934413,1789.7474702557352,663275
2020-06-29,2008.627612479489,2038.131103515625,2050.2219433712244,1998.030490429703,3295039
