Date,Open,Close,High,Low,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2020-01-02,1991.3313687686048,1970.9608154296875,1991.3313687686048,1963.2419901309358,2380752
2020-06-29,1949.7955226769145,1943.9219970703125,1967.9246415830753,1934.348895530878,3076341
